id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003
dsac_ns_nguni_00696,ear,,,oor,,,indlebe,,,,indlebe,,,,,,indlebe,,,,indlebe,,
dsac_ns_nguni_00697,early spring,,,vroeë lente,,,ukungena kwentwasahlobo,,,,ukungena kwentwasahlobo,,,,,,kucala kwentfwasahlobo,,,,ukuthwasa kwesilimela,,
dsac_ns_nguni_00698,early summer,,,vroegsomer,,,ukungena kwehlobo,,,,ukungena kwehlobo,,,,,,kucala kwelihlobo,,,,itwasahlobo,,
dsac_ns_nguni_00699,ear of wheat,,,koringaar,,,izimba,,,,imbewu yengqolowa,,,,,,litimba,sishakato semabele,,,isiqwambe,,
dsac_ns_nguni_00700,earpiece,,,gehoorstuk,,,undlebeni,,,,umqheba wefoni,umqheba womnxeba,,,,,sibambo selucingo,,,,isilalelisi,,
dsac_ns_nguni_00701,earth {planet},,,aarde,,,umhlaba,,,,ihlabathi,umhlaba,,,,,umhlaba,,,,iphasi,umhlaba,
dsac_ns_nguni_00702,earth {electrical},,,aarding,,,isibethelo,isikhonkwana {sikagesi},,,isikhuseli mbane,isikhuseli bungozi,isithinteli soqhushumbo,uthintelo lombane,,,sibambambani,,,,isibambimbani,,
dsac_ns_nguni_00703,earth leakage,,,aardlekkasie,,,ukugeleza kukagesi,ukuvuza kukagesi,,,ukuvuza kombane,,,,,,sivikelambani,,,,ivuzisombani,,
dsac_ns_nguni_00704,earth-leakage relay switch,,,aardlekrelê,,,isiqaphakusebenzagesi,inkinobho ecindezelwayo ukuvula ugesi,,,iqhosha lombane elithintela ukuvuza,iqhosha elithintela ukuvuza kombane,,,,,sitsiyagezi,,,,iswitjhi yesivuzisombani,,
dsac_ns_nguni_00705,earth’s crust,,,aardkors,,,uqweqwe lomhlaba,,,,uqweqwe lomhlaba,,,,,,lucwecwe lwemhlaba,,,,isikhokho sephasi,,
dsac_ns_nguni_00706,earth’s surface,,,aardoppervlak,,,umhlaba,,,,umphezulu womhlaba,phezu komhlaba,,,,,buso bemhlaba,umhlaba,,,ingaphezulu lephasi,,
dsac_ns_nguni_00707,earth wire,,,aarding,,,intambo yesikhonkwana {sikagesi},,,,ucingo lombane elisisikhuseli,isithinteli-bungozi bombane,,,,,sihambisimlilo,,,,idarada ebamba umlilo,,
dsac_ns_nguni_00708,earthworm,,,erdwurm,,,umsundu,umnyundu,,,umsundululu,umsundulu,,,,,umsundvu,inshigwa,,,umzoka,,
dsac_ns_nguni_00709,east,,,oos,,,impumalanga,,,,impuma,,,,,,imphumalanga,,,,ipumalanga,,
dsac_ns_nguni_00710,ebony,,,ebbehout,,,umthombothi,,,,umsimbithi,,,,,,i-ebhoni,,,,i-ebhoni,,
dsac_ns_nguni_00711,eco,,,eko,,,ezemvelo,,,,engqamene nendalo,ebhekisa kwindalo,,,,,kwemvelo,,,,kwebhoduluko,,
dsac_ns_nguni_00712,eco-friendly adj.,,,omgewingsvriendelik,,,-hlobene nemvelo,-hambisana nemvelo,,,elungelene nendalo,eluncedo lwendalo,,,,,-hambelana nemvelo,,,,-lungele ibhoduluko,-nothelanako,
dsac_ns_nguni_00713,eco-tourism,,,ekotoerisme,,,ezokuvakasha eziphathelene nemvelo,,,,ukhenketho lwendalo,ukuhambela iindawo zendalo,,,,,tekuvakasha nemvelo,,,,ivakatjhobhoduluko,,
dsac_ns_nguni_00714,edge,,,rand,,,unqenqema,,,,isiphelo,,,,,,umngcengcema,,,,umphetho,umqoqo,
dsac_ns_nguni_00715,eel,,,paling,aal,,umbokwane,,,,impalanga,,,,,,mokhane,,,,ihlambinyoka,,
dsac_ns_nguni_00716,effect n.,,,effek,,,umphumela,umthelela,,,isiphumo,isiqhamo,,,,,umphumela,,,,umphumela,,
dsac_ns_nguni_00717,effective,,,doeltreffend,effektief,,-sebenzayo,,,,esebenzayo,eneziqhamo,,,,,-sebenta ngemphumela,,,,phumelelisako,,
dsac_ns_nguni_00718,efficiency,,,doeltreffendheid,,,ngokugculisayo,ukwenza ngokwendlulele,,,isiphumo esingenanketho,ukusebenza,,,,,kwenelisa,,,,ipumeleliso,,
dsac_ns_nguni_00719,effort,,,poging,inspanning,,umzamo,,,,umzamo,,,,,,umtamo,,,,umzamo,,
dsac_ns_nguni_00720,egg,,,eier,,,iqanda,,,,iqanda,,,,,,licandza,,,,iqanda,idzayi,
dsac_ns_nguni_00721,egg cell,,,eiersel,,,isikhupha,isikhuphasha,,,iqanda,umbindi weqanda,,,,,umtfusha welicandza,,,,ubuthumbu beqanda,,
dsac_ns_nguni_00722,egg shell,,,eierdop,,,igobolondo,,,,iqokobhe leqanda,,,,,,lugebhuta lwelicandza,,,,iqephe leqanda,,
dsac_ns_nguni_00723,egg white,,,eierwit,,,okumhlophe kweqanda,,,,indawo emhlophe eqandeni,,,,,,sikhupha,,,,ubumhlophe beqanda,,
dsac_ns_nguni_00724,egg yolk,yolk,,eiergeel,dooier,,isikhupha,isikhuphasha,,,umthubi weqanda,,,,,,umtfubi welicandza,,,,iyogu,,
dsac_ns_nguni_00725,egret,,,egretreier,egret,,ilanda,,,,ilanda,ukholimanzi,,,,,lilandza,umtheshane,,,ujojo,,
dsac_ns_nguni_00726,Egyptian goose,,,kolgans,,,igalikuni laseGibhithe,,,,ilowe,uhloyiso lwada,,,,,lihansi laseGibhite,,,,irhansi leGibhide,,
dsac_ns_nguni_00727,elastic adj.,,,rekbaar,elasties,,-nwebekayo,,,,erekayo,enwebekayo,etwebekayo,,,,-nwebekako,,,,-tamulukako,-nabulukako,-regako
dsac_ns_nguni_00728,elastic n.,,,rek,,,ilastiki,,,,ilastikhi,irekeni,,,,,ilastiki,umnweba,,,irege,,
dsac_ns_nguni_00729,elastic band,,,rek,,,ibhande lelastiki,,,,ilastiki,irekeni,,,,,libhande lemnweba,,,,irege,,
