id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,nso__004,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,ven__004,ven__005,tso__001,tso__002,tso__003,tso__004
dsac_multi_math_00075,bar code,,,,staafkode,strepieskode,,,amagabelomfihlo,amagabelo ezinombolomfihlo,umbhalo wezinombolo eziyimfihlo,,ibha-khowudi,amanani etshathi,,,,ibhakhodi,,,,,umtlolofihlo,ikhowudu le bha,,khoutunoko,,,nomorotšhupo ya methalo,paakhoute,,,khoutu ya bara,,,baakhoudu,,,,,khodi ya bara,,,
dsac_multi_math_00076,bar graph,bar chart,,,staafgrafiek,,,,igrafu yamagabelo,,,,igrafu yesitena,ibha-tshathi,itshathi yezitena,,,ibhashadi,ibhagrafu,,,,itjhadi lebha,igrafu yebha,,kerafonoko,kerafomika,molanoko,kerafo ya methalopepetla,paakerafo,,,kerafo ya bara,,,tshatidungo,baatshati,,,,chati ya bara,girafu ya bara,,
dsac_multi_math_00077,barter,,,,ruil,,,,ukushintshisana,,,,ukunaniselana,,,,,kuntjintjiselana,,,,,royila,,,anaanya,,,kgweboneelano,,,,ananya,,,,,,,,ku cincana,,,
dsac_multi_math_00078,base {number system; logarithms},radix,,,basis,grondtal,,,umsuka wokubala,isisekelo sokubala,,,isisekelo,amanani asuka kwawentsusa,iradiksi,,,iradiksi,,,,,inomborosisekelo,,,motheo-thulaganyopalo,,,motheopalo,,,,radiks,,,fhasi,mutheo,beisi,,,beyisi,rhadikisi,,
dsac_multi_math_00079,base line,,,,basislyn,,,,isisekelomdwebo,iphansi lomdwebo,,,umgca wentsusa,,,,,umugcasisekelo,umugcasicu,umugca msuka,,,umudasisekelo,,,molatheo,,,mothalotheo,,,,mola wa motheo,,,mutalo wa mutheo,mutalo wa beisi,,,,ntila wo rhanga,,,
dsac_multi_math_00080,basic principle,,,,basiese beginsel,,,,isisekelomgomo,umgomo oyisisekelo,,,umthetho-siseko osisiseko,umthetho ongundoqo,,,,umgomosisekelo,umgomonchanti,,,,umgomosisekelo,,,molawanatheo,,,theotheo,,,,theo ya motheo,,,mulayo wa mutheo,mulayo wa beisi,,,,maendlele yo sungula,maendlele yo rhanga,,
dsac_multi_math_00081,basic principles of measurement,,,,basiese beginsels van meting,,,,isisekelomgomo sokulinganisa,,,,imithetho-siseko esisiseko yokulinganisa,imithetho engundoqo yomlinganiselo,imigaqo engundoqo yomlinganiselo,,,umgomosisekelo wekukala,,,,,umgomosisekelo wokulinganisa,,,molawanatheo-tekanyo,,,metheotheo ya kelo,,,,ditheo tsa motheo tsa ho lekanya,,,mulayo wa mutheo,beisi ya muelo,,,,endlele ro sungula ra mapimele,,,
dsac_multi_math_00082,basis,,,,basis,,,,isisekelo,isisusa,,,isiseko,,,,,sisekelo,,,,,isisekelo,,,motheo,theo,,theo,,,,motheo,,,mutheo,beisi,,,,masungulo,,,
dsac_multi_math_00083,become <symbol ð >,,,,word,,,,yiba,,,,ukuba,yiba,,,,-ba,,,,,-ba,,,-nna,,,go ba,,,,ho ba,,,-vha,,,,,-va,hundzuka,,
dsac_multi_math_00084,before <preposition> {space and position},,,,voor,,,,ngaphambi,,,,ngaphambi,phambi,,,,embikwa,embikwe,,,,ngaphambi kwa,,,pele ga,,,pele ga,,,,pele,,,phanḓa ha,,,,,rhangela,emahlweni ka,,
dsac_multi_math_00085,before noon,a.m. <Abbreviation>,ante meridiem <Full form>,,voormiddag,vm.,,,ekuseni,,,,ekuseni,phambi kwemini emaqanda,kusasa,ngentlazane,,entsatsakusa,ekuseni,,,,ngamasa,imini yekuseni,ekuseni,moso,,,mesong,,,,pele ho nyene,,,matsheloni,,,,,n.m.,nimixo,,
dsac_multi_math_00086,beginning,,,,begin,aanvang,,,ekuqaleni,,,,ekuqaleni,,,,,sicalo,ekucaleni,,,,ekuthomeni,emathomeni,,tshimologo,,,mathomong,,,,tshimolohong,,,mathomoni,,,,,masungulweni,,,
dsac_multi_math_00087,behind <preposition> {space and position},,,,agter,,,,emuva,ngemuva,,,emva,,,,,ngemuva,,,,,emuva kwa,,,kwa morago ga,,,morago ga,,,,ka mora,,,murahu,,,,,ndzhaku,,,
dsac_multi_math_00088,below <preposition> {space and position},,,,onder,,,,ngaphansi,,,,ngezantsi,ngaphantsi,,,,ngaphasi,,,,,ngaphasi kwa,,,tlase ga,,,ka fase,,,,ka tlase,,,fhasi,,,,,ehansi ka,,,
dsac_multi_math_00089,between <preposition> {space and position},,,,tussen,,,,phakathi nendawo,,,,phakathi,,,,,emkhatsini,,,,,hlangana na,,,magareng ga,,,magareng,,,,dipakeng,,,vhukati,,,,,katikweni ka,,,
dsac_multi_math_00090,big <bigger, biggest>,,,,groot,,,,-khulu,,,,nkulu,khulu,,,,-khulu,,,,,khulu,,,kgolo,,,kgolo,,,,kgolo,,,khulu,,,,,-kulu,,,
dsac_multi_math_00091,bigger than <symbol > >,,,,groter as,,,,-khulu kuna,,,,enkudlwana kune,ngaphezu kwa,,,,-khulu kuna,,,,,-khulu kuna,,,kgolo go,,,e feta,kgolo go,go feta,golo go,- kgolo ho,,,khulwane kha,,,,,-kulu eka,tlula,,
dsac_multi_math_00092,bill n. {money owed},,,,rekening,,,,iphepha lesaziso sezindleko,,,,i-akhawunti,,,,,incwadzisikweleti,ibhili,,,,ibhili,,,tshupamolato,,,tšhupamolato,,,,sekoloto,,,mulandu,,,,,xikweleti,nkonta,,
dsac_multi_math_00093,billion <Great Britain>,,,,biljoen,,,,isigidimbili,ibhiliyoni,,,isigidi sezigidi,,,,,sigidzigidzi,ibhiliyoni,,,,ibhiliyoni,,,bilione,,,bilione,,,,bilione,,,biḽioni,,,,,biliyoni,,,
dsac_multi_math_00094,binary adj.,,,,binêr,,,,ziqumbili,,,,esibini,izibini {zamanani},ngamabini,,,ngakubili,ibhayinari,,,,nquntumbili,,,sebedi,,,ka bobedi,,,,bobedi,,,bainari,,,,,ximbirhi-mbirhi,,,
dsac_multi_math_00095,binary digit,,,,binêre syfer,,,,inombolo kaziqumbili,,,,umvo wesibini,amanani angoonombini,,,,tinombolo ngatimbili,tinombolo tebhayinari,,,,idijithi enquntumbili,,,palosebedi,,,palo ya nomoropedi,,,,palobobedi,,,didzhithi ya bainari,,,,,digiti ya ximbirhi-mbirhi,,,
dsac_multi_math_00096,binary fraction,,,,binêre breuk,,,,iqhezu likaziqumbili,,,,iqhezu lesibini,amaqhezu azizibini,,,,lucetu lwebhayinari,,,,,icezu elinquntumbili,,,palophatlo-sebedi,,,palophatlopedi,,,,sekoto sa palo bobedi,,,tshipiḓa tsha bainari,,,,,xiphemu xa ximbirhi-mbirhi,,,
dsac_multi_math_00097,binary numbers <usually used in the plural>,,,,binêre getalle,,,,izinombolo zikaziqumbili,,,,iinombolo zesibini,ubhalo lwamanani ngezibini,,,,tinombolo tebhayinari,,,,,iinomboro eziinquntumbili,,,dipalosebedi,,,dinomoropedi,,,,dipalo tsa palo bobedi,,,nomboro dza bainari,,,,,tinomboro ta ximbirhi-mbirhi,,,
dsac_multi_math_00098,binary operation,binary notation,,,binêre bewerking,,,,izimpawu zikaziqumbili,,,,umsebenzi wesibini,ukubala ngezibini,ubhalo lwamanani ngezibini,ubhalo lwezibini,,umsebenti webhayinari,,,,,umbalo oquntumbili,,,mokwalopalo-sebedi,,,mongwalopalo wa nomoropedi,,,,tsebetso ya palo bobedi,,,kuṅwalele kwa bainari,,,,,nxaxameto wa ximbirhi-mbirhi,,,
dsac_multi_math_00099,binary system,,,,binêre stelsel,,,,uhlelo lwezinombolo zikaziqumbili,,,,indlela yesibini,umiso lwezibini zamanani ngendlela,,,,inchubo yebhayinari,,,,,irherho elinquntu-mbili,,,thulaganyosebedi,,,peakanyo ya nomoropedi,,,,hlohlomelo ya palo bobedi,,,sisiṱeme ya bainari,,,,,sisiteme ya ximbirhi,,,
dsac_multi_math_00100,bisector,,,,halveerder,,,,isinqamula kabili,umudwa onqamula kabili,,,isahlula-kubini,isicanda- kubini,,,,ibhayisektha,,,,,ibhayisektha,,,molakaroganyo,,,mothaloseripagare,mothalosephatlolagare,,,mola o kgaohanyang,,,mutalokati,mutalophandekanyi,,,,xiavanyisi,,,
dsac_multi_math_00101,block n.,,,,blok,,,,ibhele,,,,isambuku,ibhloko,,,,ibhondela,iblokhi,,,,ibhala,,,semika,noko,,ploko,,,,boloko,,,tshigwada,buḽoko,tshibuloko,,,xikatsa,buloko,,
dsac_multi_math_00102,block diagram,,,,blokdiagram,,,,umdwebo webhele,,,,umfanekiso osisambuku,ibhloko yesazobe,ibhloko yedayagram,,,umdvwebo weblokhi,,,,,umfanekiso wamabhulogo,,,setshwantshomika,,,tshwantšho ya khutlonne,tshwantšho ya ploko,,,taekeramo ya boloko,,,nyolo ya buḽoko,daigiramu ya buḽoko,,,,dayagiramu ya buloko,,,
