id,eng__001,eng__002,afr__001,afr__002,afr__003,xho__001,xho__002,xho__003,ssw__001,ssw__002,ssw__003,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,Tshivenda__-,nso__002,sot__-,nso__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003
dsac_multi_engine_00001,absorption field {plumbing},,absorpsieveld,,,ummandla wofunxolindle,isitamkoko,,indzawokumunya,,,ubumunyelosilaphazo,indawo yokumunyela isilaphazo,,,matlhatlhaganyane a bomunelo,,,bomonego,,lefelomonego,,,vhunwelelo,,,,vutswongelo,,
dsac_multi_engine_00002,abutment {retaining wall},,steunmuur,,,intsika yebhulorho,,,sisekeli,sisimisi,,isisekelibhlorho,,,,lokganedi,,,sethekgi,,,,,luvhondothikhaburoho,,,,khumbinseketelo,,
dsac_multi_engine_00003,access chamber,,toegangskamer,,,umngxuma wokungena kwikholbhethi,,,umgodzilungeno,umgodziluhlolo,,umgodi wokuhlola amaphayiphi,,,,mokgothwana,,,moletephihlelelo,,mokotiphihlelelo,,,mulondotswikelelo,,,,muhochomfikelelo,,
dsac_multi_engine_00004,acrow prop {temporary support},,teleskopiese staalstut,,,intsika yexeshana,,,sisimisi sesikhashana,sisekeli sesikhashana,siphakamisi sesikhashana,isisekelimakhiwo sesikhatjhana,isika yesikhatjhana,,,matshego,,,sethekgisebakanyana,,,,,thikhopheleledzo,,,,phuphuxikhafula,,
dsac_multi_engine_00005,actuator,,drywer,aandrywer,,isiduduli,,,sisundvuti,,,isikhambisi,,,,setsamaisi,,,sesepediši,akutshuweitha,,,,,,,,xifambisi,xilawuri,
dsac_multi_engine_00006,aerospace engineering,,ruimte-ingenieurswese,ruimtevaartingenieurswese,,ubunjineli ngezophapho,,,bunjiniyela betindizamshini,bunjiniyela betihambamoyeni,,ubunjiniyere bezeemphaphamtjhini,ubunjiniyere bezaboflayi,,,boenjenere jwa difofane,,,boentšenerephofo,,,,,vhuinzhiniara ha zwa vhuendatshikhalani,,,,vunjhiniyara bya swa vuhahi,,
dsac_multi_engine_00007,aggregate {concrete},,aggregaat,toeslag,amatshe okwenza ukhonkolo,ikonkriti,,,tinhlobonhlobo telukhetse,tinhlobonhlobo teluhhayematje,tinhlobonhlobo tekucoliseka kwematje,amatjana wekhonkhridi,,,,konkereitetswakwa,,,lekgwara,,,,,thombwana,,,,xipfanganisiwandzinganelo,xihlanganisiwandzinganelo,
dsac_multi_engine_00008,agricultural engineering,,landbouingenieurswese,landbou-ingenieurswese,,ubunjineli ngezolimo,,,bunjiniyela betekulima,,,ubunjiniyere bezokulima,,,,boenjenere jwa temothuo,,,boentšeneretemothuo,,,,,vhuinzhiniara ha zwa vhulimivhufuwi,,,,vunjhiniyara bya swa vurimivufuwi,,
dsac_multi_engine_00009,airbrick,,lugsteen,,,isitena esineentunja,,,sitini sekungenisa umoya,,,isitina esingenisa ummoya,,,,setenarobana,,,setenamoya,,eporiki,,,tshidinatseramuya,tshidinapfukisamuya,,,xitinamoya,,
dsac_multi_engine_00010,air-conditioner condenser,,lugversorgerkondensator,,,isiguqulisimo somoya,isihuhuzimoya,,siguculisimo semoya,sintjintjisimo semoya,,isitjhubisimrhwamuko sesiphehlimmoya,,,,sekomotisamowa,,,sefetošamoya,,,,,tshilangutshilangamufhe,,,,khondensara ya xilawulamoya,,
dsac_multi_engine_00011,air conditioning,,lugversorging,,,ulawulomoya,uguqulomoya,ulungisomoya,kugucuka kwemoya,kuntjintja kwemoya,,ukulawulwa kwezingakutjhisa,,,,phetolamowa,,,taolomoya,,,,,vhulangamufhe,,,,vulawulamoya,,
dsac_multi_engine_00012,aircrete,,lugbeton,,,ikonkriti ekhaphukhaphu,,,luhlobo lwasemende lolula,,,umhlobo wekhonkhridi elula,,,,konkereitefefo,konkereitetlhofo,,samentefefo,,ekhiriti,,,ekhrithi,,,,xitinambevuko,,
dsac_multi_engine_00013,air duct,,luggang,lugkanaal,lugleiding,umjelo womoya,,,umgudvumoya,,,iphayiphi lommoya,umrhoswana wommoya,,,moselemowa,moelamowa,,sesepetšamoya,,,,,phaiphi ya muya,,,,nsokomoya,,
dsac_multi_engine_00014,air-entrained concrete,,luggevulde beton,,,ikonkriti yokwakha indlela,ikonkriti eneentunja,ikonkriti efakwe umoya,khonkholomabhamuta,khonkholotikhala,,ikhonkhridi enamabhamuza,,,,konkereitekgopamowa,,,khonkhoritsenywamoya,,,,,khonkhirithi ya phore,,,,khonkhireti ya swimbyarumbyaru,,
dsac_multi_engine_00015,alcove,,alkoof,,,igolongxa,,,umkhoco,,,umrhohlomela,i-alkhovu,,,logabo,,,leobo,,alekhoufu,,,alkhouvu,,,,nkovotlaxikhaviso,alikhovhu,
dsac_multi_engine_00016,anchor {for stability},,anker,,,iankile,,,sibophi,sibopheleli,,isibopheleli,i-ankere,,,lomapo,tshetledi,,sebofagantšhi,,enkhara,,,tshiṱanganyi,tshiṱumanyi,,,xitiyiso,xibohelo,
dsac_multi_engine_00017,ant cap,,mierskerm,mierskut,,isithintelimbovane,,,sivimbelincangozi,sivimbelimuhlwa,,isivimbelimuhlwa,isikhandelimuhlwa,,,sekganeladitshoswane,,,sethibelamohlwa,,,,,tshithivhelamutshenzhe,tshipilamutshenzhe,,,xisivelamuhlwa,xisivelamajenje,
dsac_multi_engine_00018,applied engineering,,toegepaste ingenieurswese,,,ubunjineli ngokwamakhondo,,,bunjiniyela belwentiwomsebenti,bunjiniyela bemakhono,,ubunjiniyere bokuphumelelisa amakghono,,,,boenjenere jwa tirisego,,,boentšeneretirišo,,boentšeneretšhomišo,,,vhuinzhiniara ha zwa mashumisele,vhuinzhiniara ha zwa kushumisele,,,vunjhiniyara bya swa matirhiselo,,
dsac_multi_engine_00019,arcade,,arkade,deurloop,,indledlana enophahla,iakheyidi,,umhume loneluphahla,i-akheyidi,,umrhoswana ofulelweko,i-akheyidi,,,mogorogoro,akheite,,tselanagaremeago,,akheiti,,,akheidi,,,,akhedi,,
dsac_multi_engine_00020,architect,,argitek,,,umyilizakhiwo,,,umcambisakhiwo,umcambiplani,,umtlami wamaplani wemakhiwo,,,,moraladikago,,,mohlamadipolane,,moakhitheke,,,muakhithekhithi,muaṭshithekhithi,,,mutshulatipulani wa miako,n'watipulani wa miako,
dsac_multi_engine_00021,architectural engineering,,argitektoniese ingenieurswese,,,ubunjineli boyilozakhiwo,,,bunjiniyela belucambosakhiwo,,,ubunjiniyere bokutlama imakhiwo,,,,boenjenere jwa boralodikago,,,boentšeneretlhamopolane,,,,,vhuinzhiniara ha muakhithekhithi,vhuinzhiniara ha zwa muatshithekhithi,,,vunjhiniyara bya swa miako,,
dsac_multi_engine_00022,architecture,,argitektuur,bouwkunde,,ubugcisa boyilozakhiwo,inzululwazi ngoyilozakhiwo,,buciko bekucamba sakhiwo,,,ubukghwari bokutlama imakhiwo,,,,boraladikago,,,boakhitheke,,bohlamadipolane,,,vhutsila ha muolimakone,vhutsila ha vhuolintende,vhuakhithekhithi,vhuatshithekhithi,ntivavutshulatipulani bya miako,,
dsac_multi_engine_00023,architrave,,argitraaf,kosynlys,,umhombiso womgubasi,,,lifremu lelihlotjisiwe,liguseni lelihlotjisiwe,,umhlobiso wegoseni,umkghabiso wegoseni,,,lebalelo la kosene,,,morumokgabišo,,akhithereifi,,,phendelafureme,,,,xikhavisarimba,,
dsac_multi_engine_00024,areaway,,luggang,,,indawo yokungena kwigumbi elingaphantsi komhlaba,,,indlela leya endlini yangaphasi,,,ubehlelo bomakhiwo ongaphasi,,,,tselanaphetisi,,,lešobamoya,,lešobaseetša,,,nḓilagodi,,,,mpfutla,,
dsac_multi_engine_00025,area well,,oppervlakteput,terreinput,,ungqameko,,,liguma,umtsangala,,isirhodlwana somkhanyo,,,,sekganelammu,,,sekgobapheko,,,,,tshithivhela,tshikhalamvulelo,,,xivandlanghubelo,,
