"eng__001","eng__002","eng__003","eng__004","afr__001","afr__002","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","nso__004","nso__005","nso__006","sot__001","sot__002","sot__003","sot__004","sot__005","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002"
"cup final","","","","bekereindstryd","eindstryd","umdlalo wamanqamu","","","umdlalo wamanqam","umdlalo wamagqibela kankqoyi","","","umdlalo wemancamu","","","","iphaliswano lamaphelelo lebhigiri","iphaliswano lokugcina lebhigiri","","","makgaolakgang a sejana","makgaolakgang a sekgele","","","makgaolakgang a sebjana","","","","","","makgaolakgang","","","","","mutambo wa makhaulakhani","mutambo wa makhaulatshele","","","ntlangu wo hetelela wa khapu",""
"curler","banana kick","","","krulskop","","ukukhahlela ingwegwe","ukukhahlela ingobela","","ibhanana","umsiko obugophe","","","kusika ibhola","ibhanana","","","umsiko","igomba","","","panana","kobi","","","mosego","","","","","","tswapetso","koropetso","","","","khuyo","tsonga","","","nsongo",""
"curtain raiser","","","","voorwedstryd","","imbulamazolo","imbulambethe","","umdlalo wokutshayelela","umdlalo oyingabula-zigcawu","imbula-mbethe","","umdlalo wekubhula ematolo","","","","ibhulambethe","umvulakundla","","","matlhagolatsela","","","","makgoraditsela","","","","","","papadi e hlekang sebae","papadi ya selelekela","papadi e fifiellang","","","mutambothangeli","","","","ntlangu wo kukula rivala",""
"cut n.","","","","swenkskop","systap","umjiko osikayo","umjiko onqamulayo","","ukuphamba","ukusika","","","kutfubeleta nebhola","","","","ukufahla","","","","tshego","go sega","tshutlhelelo","","go šwahla","go šohla","","","","","ho tswedipana","","","","","u tshea","","","","ntsemakanyo",""
"dangerous play","","","","gevaarlike spel","","ukudlala okuyingozi","","","ukudlala rhabaxa","ukudlala kakubi","ukudlala okuyingozi","","kudlala lokuyingoti","","","","ukudlala okuyingozi","","","","tshamekomakgwakgwa","","","","papadi ya kotsi","papadi ya makgwakgwa","thaloko ya kotsi","thaloko ya makgwakgwa","","","papadi e kotsi","","","","","matambele a khombo","matambomavhi","","","tlangelo ro biha",""
"dead ball","","","","die bal is dood","dooie bal","ibhola elimile","ibhola elinganyakazi","","ibhola esamisiweyo","ibhola efileyo","","","ibhola lemile","umbekelo","","","ibholo esajanyisiweko","","","","kgwele e e suleng","","","","kgwele ye e emego","bolo ye e emego","","","","","bolo e emisitsweng","","","","","bola yo imaho","","","","bolo leyi vekiweke ehansi",""
"debut n.","","","","debuut","","ukudlala okokuqala eqenjini","","","ukudlala okokuqala eqeleni","","","","kudlala kwekucala ecenjini","","","","ukudlala kokuthoma esiqhemeni","","","","tlhagelelo la ntlha","","","","papadi ya mathomo ya mmapadi","papadi ya mathomo ya moraloki","","","","","papadi ya pele ya sebapadi","","","","","u tamba lwa u thoma kha thimu","","","","ntlangunxambilo",""
"defective ball","","","","foutiewe bal","foutbal","ibhola elingalungele ukudlalwa","","","ibhola engekho mgangathweni","","","","ibhola lengakalungeli kusetjentiswa","ibhola lengekho ezingeni","","","ibholo engakalungeli ukudlala","","","","kgwele e e sa siamelang motshameko","","","","kgwele ye e sego ya maleba","kgwele ye e sa amogelegego","","","","","bolo e sa amoheleheng","bolo e dipha","","","","bola i sa tendelwi u shumiswa kha mutambo","","","","bolo yo ka yi nga lulamangi",""
"defence","backline","","","verdediging","","abadlali basemuva","","","ukuvingca amazibuko","ukuvala amazibuko","ukuvala ngasemva","","bavimbeli","bavikeli","","","ivikelo","ikhandelo","","","tshireletso","","","","bohlabaneladino","leboto","tšhireletšo","","","","dibapadi tse tshireletsang","lebota","lekgwakgwa","","","vhutambamurahu","","","","nsirhelelo",""
"defender","fullback","","","verdediger","","umdlali wasemuva","","","umdlali wasemva","uvingc'amazibuko","umkhuseli","idifenda","umdlali wasemuva","sitobha","umvimbi","","umkhandeli","","","","mosireletsi","motshamekamorago","","","mohlabaneladino","mošireletšadino","","","","","mosireletsi","","","","","mutambamurahu","","","","mutlangandzhaku",""
